IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-07-02 16:12:16	Entrada
35	48600	2015-07-02 16:21:48	Salon
35	48600	2015-07-02 16:21:50	Entrada
35	48600	2015-07-02 16:21:55	Salon
35	48600	2015-07-02 16:25:08	Entrada
35	48600	2015-07-02 16:25:41	Baño pequeño
35	48600	2015-07-02 16:27:49	Entrada
35	48600	2015-07-02 16:27:52	Salon
35	48600	2015-07-02 16:29:37	Entrada
35	48600	2015-07-02 16:41:21	Entrada
35	48600	2015-07-02 16:49:41	Entrada
35	48600	2015-07-02 16:57:31	Entrada
35	48600	2015-07-02 16:57:38	Salon
35	48600	2015-07-02 17:01:36	Baño pequeño
35	48600	2015-07-02 17:12:56	Baño pequeño
35	48600	2015-07-02 17:12:56	Entrada
35	48600	2015-07-02 17:12:57	Entrada
35	48600	2015-07-02 17:18:36	Entrada
35	48600	2015-07-02 17:20:56	Puerta
35	48600	2015-07-02 17:20:57	Puerta
35	48600	2015-07-02 17:20:57	Puerta
35	48600	2015-07-02 17:20:57	Puerta
35	48600	2015-07-02 17:20:57	Puerta
35	48600	2015-07-02 20:24:18	Puerta
35	48600	2015-07-02 20:24:19	Puerta
35	48600	2015-07-02 20:24:19	Puerta
35	48600	2015-07-02 20:24:19	Puerta
35	48600	2015-07-02 20:24:23	Entrada
35	48600	2015-07-02 20:29:36	Entrada
35	48600	2015-07-02 20:29:56	Baño pequeño
35	48600	2015-07-02 20:34:05	Habitación 2
35	48600	2015-07-02 21:07:22	Habitación 1
35	48600	2015-07-02 21:12:46	Entrada
35	48600	2015-07-02 21:28:29	Baño pequeño
35	48600	2015-07-02 21:31:30	Entrada
35	48600	2015-07-02 21:31:38	Salon
35	48600	2015-07-02 21:40:43	Entrada
35	48600	2015-07-02 21:42:45	Salon
35	48600	2015-07-02 21:43:03	Baño pequeño
35	48600	2015-07-02 21:43:19	Salon
35	48600	2015-07-02 21:51:36	Entrada
35	48600	2015-07-02 22:05:39	Salon
35	48600	2015-07-02 22:07:14	Entrada
35	48600	2015-07-02 22:18:48	Entrada
35	48600	2015-07-02 22:20:22	Salon
35	48600	2015-07-02 22:30:38	Entrada
35	48600	2015-07-02 22:39:25	Entrada
35	48600	2015-07-02 22:47:20	Entrada
35	48600	2015-07-02 22:48:36	Salon
35	48600	2015-07-02 22:56:24	Entrada
35	48600	2015-07-02 22:59:07	Salon
35	48600	2015-07-02 23:05:16	Entrada
35	48600	2015-07-02 23:28:25	Entrada
35	48600	2015-07-02 23:40:49	Entrada
35	48600	2015-07-02 23:52:01	Entrada
35	48600	2015-07-03 00:02:44	Entrada
35	48600	2015-07-03 00:10:48	Entrada
35	48600	2015-07-03 00:28:03	Entrada
35	48600	2015-07-03 00:28:40	Salon
35	48600	2015-07-03 00:28:50	Baño pequeño
35	48600	2015-07-03 00:34:15	Entrada
35	48600	2015-07-03 00:42:38	Entrada
35	48600	2015-07-03 00:48:01	Entrada
35	48600	2015-07-03 00:52:19	Baño pequeño
35	48600	2015-07-03 00:55:05	Entrada
35	48600	2015-07-03 00:55:07	Salon
35	48600	2015-07-03 00:55:09	Entrada
35	48600	2015-07-03 00:55:13	Salon
35	48600	2015-07-03 01:15:59	Entrada
35	48600	2015-07-03 01:24:08	Salon
35	48600	2015-07-03 01:33:43	Entrada
35	48600	2015-07-03 01:38:59	Entrada
35	48600	2015-07-03 01:42:01	Salon
35	48600	2015-07-03 01:51:22	Entrada
35	48600	2015-07-03 01:52:21	Salon
35	48600	2015-07-03 01:52:25	Baño pequeño
35	48600	2015-07-03 01:54:01	Salon
35	48600	2015-07-03 08:17:38	Habitación 1
35	48600	2015-07-03 08:19:51	Baño pequeño
35	48600	2015-07-03 08:38:44	Baño pequeño
35	48600	2015-07-03 09:04:06	Baño pequeño
35	48600	2015-07-03 09:18:13	Cocina
35	48600	2015-07-03 09:20:28	Baño pequeño
35	48600	2015-07-03 09:43:37	Entrada
35	48600	2015-07-03 09:56:36	Cocina
35	48600	2015-07-03 10:16:42	Entrada
35	48600	2015-07-03 10:16:44	Salon
35	48600	2015-07-03 10:18:09	Entrada
35	48600	2015-07-03 10:27:20	Baño pequeño
35	48600	2015-07-03 10:29:27	Habitación 1
35	48600	2015-07-03 10:41:53	Entrada
35	48600	2015-07-03 10:41:56	Baño pequeño
35	48600	2015-07-03 10:42:36	Habitación 1
35	48600	2015-07-03 10:48:36	Baño pequeño
35	48600	2015-07-03 10:50:18	Entrada
35	48600	2015-07-03 10:54:38	Salon
35	48600	2015-07-03 10:56:26	Baño pequeño
35	48600	2015-07-03 10:56:56	Salon
35	48600	2015-07-03 10:59:52	Entrada
35	48600	2015-07-03 10:59:54	Salon
35	48600	2015-07-03 11:00:58	Entrada
35	48600	2015-07-03 11:30:22	Entrada
35	48600	2015-07-03 11:30:24	Salon
35	48600	2015-07-03 11:30:25	Entrada
35	48600	2015-07-03 11:48:44	Entrada
35	48600	2015-07-03 11:48:54	Baño pequeño
35	48600	2015-07-03 11:50:46	Habitación 1
35	48600	2015-07-03 11:52:37	Baño pequeño
35	48600	2015-07-03 12:06:39	Baño pequeño
35	48600	2015-07-03 12:06:40	Entrada
35	48600	2015-07-03 12:06:53	Puerta
35	48600	2015-07-03 12:06:53	Puerta
35	48600	2015-07-03 12:06:53	Puerta
35	48600	2015-07-03 12:06:53	Puerta
35	48600	2015-07-03 12:06:53	Puerta
35	48600	2015-07-03 12:06:56	Baño pequeño
35	48600	2015-07-03 12:15:54	Baño pequeño
35	48600	2015-07-03 12:25:52	Entrada
35	48600	2015-07-03 12:25:54	Salon
35	48600	2015-07-03 12:25:55	Entrada
35	48600	2015-07-03 12:38:44	Entrada
35	48600	2015-07-03 12:38:47	Salon
35	48600	2015-07-03 12:38:48	Entrada
35	48600	2015-07-03 12:39:07	Salon
35	48600	2015-07-03 12:40:06	Puerta
35	48600	2015-07-03 12:40:06	Puerta
35	48600	2015-07-03 12:40:06	Puerta
35	48600	2015-07-03 12:40:06	Puerta
35	48600	2015-07-03 12:40:06	Puerta
35	48600	2015-07-03 12:40:27	Baño pequeño
35	48600	2015-07-03 12:46:46	Baño pequeño
35	48600	2015-07-03 13:28:08	Baño pequeño
35	48600	2015-07-03 13:30:35	Entrada
35	48600	2015-07-03 13:30:37	Salon
35	48600	2015-07-03 13:30:38	Entrada
35	48600	2015-07-03 13:30:48	Salon
35	48600	2015-07-03 13:31:45	Baño pequeño
35	48600	2015-07-03 14:17:03	Baño pequeño
35	48600	2015-07-03 14:20:40	Cocina
35	48600	2015-07-03 14:33:25	Cocina
35	48600	2015-07-03 14:33:27	Entrada
35	48600	2015-07-03 14:33:29	Salon
35	48600	2015-07-03 14:36:13	Entrada
35	48600	2015-07-03 14:36:14	Salon
35	48600	2015-07-03 14:36:17	Cocina
35	48600	2015-07-03 15:05:18	Entrada
35	48600	2015-07-03 15:05:26	Salon
35	48600	2015-07-03 15:15:03	Entrada
35	48600	2015-07-03 15:53:52	Entrada
35	48600	2015-07-03 16:19:06	Entrada
35	48600	2015-07-03 16:20:36	Salon
35	48600	2015-07-03 16:20:46	Baño pequeño
35	48600	2015-07-03 16:26:41	Entrada
35	48600	2015-07-03 16:26:45	Salon
35	48600	2015-07-03 16:26:46	Entrada
35	48600	2015-07-03 16:26:51	Salon
35	48600	2015-07-03 16:52:30	Salon
35	48600	2015-07-03 17:23:03	Salon
35	48600	2015-07-03 17:23:04	Entrada
35	48600	2015-07-03 17:23:08	Salon
35	48600	2015-07-03 17:26:27	Entrada
35	48600	2015-07-03 17:42:37	Entrada
35	48600	2015-07-03 17:56:36	Entrada
35	48600	2015-07-03 18:02:16	Entrada
35	48600	2015-07-03 18:17:25	Entrada
35	48600	2015-07-03 18:27:32	Salon
